date,price,high,low
2014-01-03,90.92,103.0,80.0
2014-01-06,88.57,92.0,80.0
2014-01-07,225.55,262.5,190.0
2014-01-08,240.53,300.0,170.0
2014-01-09,56.96,59.75,56.0
2014-01-10,40.35,44.0,40.0
2014-01-13,36.41,37.0,35.5
2014-01-14,39.08,40.0,38.05
2014-01-15,43.23,44.5,42.5
2014-01-16,44.5,45.25,43.75
2014-01-17,45.45,47.0,44.75
2014-01-20,57.95,63.0,49.0
2014-01-21,156.32,172.0,140.0
2014-01-22,442.03,550.0,300.0
2014-01-23,405.78,450.0,372.0
2014-01-24,302.4,383.0,240.0
2014-01-27,414.0,450.0,388.0
2014-01-28,498.68,525.0,475.0
2014-01-29,290.84,325.0,260.0
2014-01-30,90.8,105.0,81.25
2014-01-31,56.43,60.0,54.0
2014-02-03,57.34,60.0,53.0
2014-02-04,71.48,74.0,69.25
2014-02-05,58.87,63.0,53.0
2014-02-06,143.57,195.0,100.0
2014-02-07,107.15,114.5,102.25
2014-02-10,92.08,95.0,89.0
2014-02-11,153.84,173.5,135.0
2014-02-12,169.48,176.75,157.0
2014-02-13,80.78,95.0,79.0
2014-02-14,52.4,55.0,50.75
2014-02-17,74.47,80.0,72.0
2014-02-18,56.32,70.0,54.0
2014-02-19,49.44,50.0,48.9
2014-02-20,46.64,47.25,45.0
2014-02-21,44.94,47.75,42.65
2014-02-24,80.98,87.0,75.0
2014-02-25,79.07,82.0,76.0
2014-02-26,107.56,120.0,90.0
2014-02-27,126.77,140.75,115.0
2014-02-28,110.63,120.0,102.25
2014-03-03,97.88,108.0,90.0
2014-03-04,287.59,310.0,235.0
2014-03-05,119.41,124.0,117.0
2014-03-06,90.42,95.0,86.5
2014-03-07,63.35,73.0,59.0
2014-03-10,65.42,69.0,59.0
2014-03-11,54.02,58.0,52.0
2014-03-12,54.74,56.0,53.0
2014-03-13,141.32,150.0,120.0
2014-03-14,76.17,83.0,73.0
2014-03-17,93.58,100.0,87.0
2014-03-18,79.46071428571429,84.0,75.0
2014-03-19,53.3775862068966,55.0,52.75
2014-03-20,43.061206896551695,46.0,41.0
2014-03-21,44.4982142857143,48.0,43.0
2014-03-24,94.9,96.25,92.0
2014-03-25,79.4413793103448,83.0,75.0
2014-03-26,85.6593220338983,90.95,78.0
2014-03-27,58.8141025641026,61.5,56.0
2014-03-28,44.8868421052632,45.25,44.25
2014-03-31,44.465853658536595,45.5,43.5
2014-04-01,44.1571428571429,45.25,43.25
2014-04-02,43.5416666666667,44.0,43.0
2014-04-03,50.0204545454545,51.45,48.75
2014-04-04,45.567272727272695,46.5,45.0
2014-04-07,49.4645833333333,50.5,48.0
2014-04-08,45.6269230769231,46.0,44.75
2014-04-09,43.424324324324296,43.75,42.75
2014-04-10,38.3881818181818,39.5,37.75
2014-04-11,36.95,37.25,36.75
2014-04-14,43.07265625,45.75,41.0
2014-04-15,50.332352941176495,51.0,49.75
2014-04-16,61.9925,63.5,60.5
2014-04-17,46.1904255319149,47.5,45.0
2014-04-18,37.6271428571429,38.050000000000004,37.25
2014-04-22,43.502777777777794,44.0,43.0
2014-04-23,45.0277777777778,45.55,44.75
2014-04-24,47.01,47.75,46.0
2014-04-25,46.8791666666667,48.0,45.9
2014-04-28,50.6583333333333,51.5,50.0
2014-04-29,55.468571428571394,57.25,52.0
2014-04-30,55.85,56.75,54.0
2014-05-01,53.340624999999996,54.0,52.5
2014-05-02,43.61022727272729,45.75,42.0
2014-05-05,49.075,49.5,48.75
2014-05-06,48.6464285714286,50.0,47.5
2014-05-07,49.948888888888895,51.5,49.0
2014-05-08,61.1931578947368,62.5,60.0
2014-05-09,59.927272727272694,62.0,57.0
2014-05-12,87.22982456140349,89.25,85.0
2014-05-13,63.15,66.5,60.0
2014-05-13,63.15,66.5,60.0
2014-05-14,46.804166666666696,48.0,46.0
2014-05-15,46.34375,47.25,45.75
2014-05-16,40.80072463768119,41.85,39.75
2014-05-19,41.77282608695649,42.5,41.0
2014-05-20,46.292,47.25,45.25
2014-05-21,56.9573033707865,58.25,54.25
2014-05-22,62.9805084745763,66.25,58.5
2014-05-27,74.4166666666667,75.0,73.0
2014-05-28,57.757142857142895,60.0,55.0
2014-05-29,41.612500000000004,42.5,40.75
2014-05-30,43.028971962616794,48.0,40.0
2014-06-02,60.0644736842105,61.5,59.25
2014-06-03,63.8333333333333,65.0,62.0
2014-06-04,52.9540983606557,54.5,51.0
2014-06-05,44.3736842105263,45.0,44.0
2014-06-05,44.3736842105263,45.0,44.0
2014-06-06,40.4464285714286,41.25,39.0
2014-06-10,54.42090909090909,55.75,53.0
2014-06-11,53.252238805970094,54.5,52.0
2014-06-12,47.510784313725495,48.75,46.5
2014-06-13,41.43,42.25,40.75
2014-06-16,57.759782608695694,60.5,56.5
2014-06-17,86.3376712328767,93.0,82.8
2014-06-18,113.023333333333,118.0,107.0
2014-06-19,61.93709677419349,70.25,58.0
2014-06-20,42.7870588235294,45.0,41.75
2014-06-23,43.58902439024389,45.5,42.75
2014-06-24,53.3289473684211,55.0,52.0
2014-06-25,50.7673913043478,52.25,49.0
2014-06-26,53.5030769230769,54.9,51.95
2014-06-27,53.86063829787229,56.0,51.0
2014-06-30,71.46374999999999,74.75,69.3
2014-07-01,82.7916666666667,85.0,80.0
2014-07-02,77.54632352941181,79.75,75.0
2014-07-03,53.6787234042553,55.5,51.0
2014-07-07,64.1652542372881,67.0,60.0
2014-07-08,67.5925925925926,70.0,65.0
2014-07-09,49.655633802816894,51.5,48.25
2014-07-10,40.2913043478261,41.0,39.5
2014-07-11,38.536,38.75,38.25
2014-07-14,56.2691666666667,57.0,55.0
2014-07-15,42.9822222222222,44.5,42.0
2014-07-16,37.6205882352941,38.0,36.550000000000004
2014-07-17,35.2257575757576,35.65,34.6
2014-07-18,38.424107142857096,38.75,37.75
2014-07-21,45.4519230769231,47.0,44.5
2014-07-22,54.4140845070423,57.25,52.0
2014-07-23,57.1044444444444,58.0,54.65
2014-07-24,38.112500000000004,38.75,37.5
2014-07-25,36.06,36.5,35.5
2014-07-28,42.451785714285705,44.0,42.0
2014-07-29,38.60240384615379,40.0,37.25
2014-07-30,34.44814814814809,35.5,33.25
2014-07-31,36.341935483871005,37.5,35.65
2014-08-01,37.36875,39.0,36.5
2014-08-04,46.0532258064516,46.75,45.0
2014-08-05,49.4633333333333,50.5,47.5
2014-08-06,42.8109375,43.75,42.0
2014-08-07,37.907894736842096,38.5,37.5
2014-08-08,38.4867647058824,39.25,38.0
2014-08-11,39.655,40.0,39.25
2014-08-12,35.25375,36.5,34.800000000000004
2014-08-13,37.122727272727296,37.5,36.5
2014-08-14,33.595454545454494,34.0,32.75
2014-08-15,31.9462962962963,32.1,31.4
2014-08-18,40.1378048780488,40.95,39.25
2014-08-19,42.2651515151515,42.75,42.0
2014-08-20,44.095652173912995,44.5,40.0
2014-08-21,43.2714285714286,43.5,43.25
2014-08-22,42.721428571428596,43.5,42.5
2014-08-25,42.042,42.55,41.75
2014-08-26,47.7892307692308,48.75,46.5
2014-08-26,49.88,50.5,48.5
2014-08-28,41.325,42.0,41.0
2014-08-29,39.6354838709677,40.25,38.75
2014-09-02,68.84767441860471,71.0,67.35
2014-09-03,52.97592592592589,53.9,51.85
2014-09-04,47.6959302325581,48.75,46.75
2014-09-05,50.824698795180694,51.95,49.5
2014-09-08,37.37,37.65,37.25
2014-09-09,39.05,39.5,38.5
2014-09-10,43.35,44.0,42.0
2014-09-11,52.6,54.25,51.75
2014-09-12,35.38,35.75,34.95
2014-09-15,35.17,35.5,35.0
2014-09-16,36.59,37.5,36.0
2014-09-17,36.5,37.0,35.75
2014-09-18,37.0,37.0,37.0
2014-09-19,35.42,36.0,35.0
2014-09-22,36.82,37.5,36.5
2014-09-23,35.41,36.0,35.05
2014-09-24,35.23,35.5,34.95
2014-09-25,36.47,36.75,36.0
2014-09-26,38.7,39.5,38.05
2014-09-29,42.52,44.0,41.4
2014-09-30,42.78,44.0,41.25
2014-10-01,40.79,41.25,40.25
2014-10-02,40.71,42.0,39.5
2014-10-03,39.01,39.5,38.5
2014-10-06,41.38,42.8,40.25
2014-10-07,42.02,43.0,41.0
2014-10-08,41.25,41.75,40.75
2014-10-09,40.79,41.25,40.25
2014-10-10,39.35,40.0,39.0
2014-10-13,44.85,45.05,44.65
2014-10-14,50.92,51.5,49.0
2014-10-15,46.34,47.3,45.5
2014-10-16,42.42,42.5,42.25
2014-10-17,38.62,39.25,38.5
2014-10-20,43.21,43.75,43.0
2014-10-21,42.18,42.5,41.5
2014-10-22,42.59,43.4,41.75
2014-10-23,42.1,42.75,41.0
2014-10-24,36.21,36.5,36.0
2014-10-27,41.69,42.75,41.0
2014-10-28,41.35,42.25,40.7
2014-10-29,41.31,41.75,41.05
2014-10-30,44.73,45.25,43.5
2014-10-31,45.15,46.0,44.5
2014-11-03,51.4,52.5,50.5
2014-11-04,40.52,41.0,39.0
2014-11-05,37.96,38.5,37.5
2014-11-06,44.42,45.25,43.25
2014-11-07,47.01,47.75,46.5
2014-11-10,44.58,45.5,44.0
2014-11-11,38.97,39.75,38.15
2014-11-12,49.07,50.0,48.0
2014-11-13,55.3,57.0,53.75
2014-11-14,55.5,58.0,53.0
2014-11-17,53.28,54.0,52.25
2014-11-18,66.17,68.5,64.0
2014-11-19,65.08,67.0,63.0
2014-11-20,47.56,49.5,46.25
2014-11-21,48.85,50.0,48.0
2014-11-24,35.92,36.5,35.5
2014-11-25,35.54,36.5,35.0
2014-11-26,44.58,45.5,41.5
2014-12-01,40.3,40.5,40.0
2014-12-02,44.81,46.0,44.0
2014-12-03,37.38,38.25,37.0
2014-12-04,41.52,42.0,40.5
2014-12-05,42.59,43.0,42.25
2014-12-08,45.53,45.75,45.0
2014-12-09,43.25,44.5,42.25
2014-12-10,44.05,45.75,43.0
2014-12-11,40.91,42.0,40.5
2014-12-12,36.98,37.4,36.75
2014-12-15,36.65,37.0,36.05
2014-12-16,37.6,38.5,37.0
2014-12-17,38.11,38.85,37.5
2014-12-18,40.26,40.5,39.85
2014-12-19,41.92,42.5,41.5
2014-12-22,39.12,40.0,38.25
2014-12-23,33.83,34.7,32.3
2014-12-24,29.18,29.5,29.0
2014-12-29,36.32,38.25,34.75
2014-12-30,38.74,39.0,38.0
2014-12-31,39.91,40.75,39.0
2015-01-02,33.93,34.5,33.25
2015-01-05,41.76,42.5,40.0
2015-01-06,46.81,49.75,44.75
2015-01-07,82.97,89.95,76.0
2015-01-08,90.95,96.0,88.0
2015-01-09,52.8,54.6,50.0
2015-01-12,40.01,42.0,38.75
